Results of Simulation 1

Time	CR_mgL	CS_mgL	CK_mgL	CH_mgL	CBL_mgL	BalErr
18.5	5.55042e-46	1.88585e-46	1.42381e-45	2.69446e-46	8.89814e-46	-1.74683e-07
18.6	3.11762e-46	1.05926e-46	7.99738e-46	1.51345e-46	4.998e-46	-1.74683e-07
18.7	1.75113e-46	5.94976e-47	4.49205e-46	8.5009e-47	2.80733e-46	-1.74683e-07
18.8	9.83595e-47	3.34192e-47	2.52314e-46	4.77487e-47	1.57685e-46	-1.74683e-07
18.9	5.52476e-47	1.87713e-47	1.41722e-46	2.682e-47	8.857e-47	-1.74683e-07
19	3.1032e-47	1.05436e-47	7.96041e-47	1.50645e-47	4.97489e-47	-1.74683e-07
19.1	1.74304e-47	5.92225e-48	4.47128e-47	8.46159e-48	2.79435e-47	-1.74683e-07
19.2	9.79047e-48	3.32647e-48	2.51148e-47	4.75279e-48	1.56956e-47	-1.74683e-07
19.3	5.49921e-48	1.86845e-48	1.41067e-47	2.6696e-48	8.81605e-48	-1.74683e-07
19.4	3.08885e-48	1.04949e-48	7.9236e-48	1.49949e-48	4.95189e-48	-1.74683e-07
19.5	1.73498e-48	5.89487e-49	4.45061e-48	8.42247e-49	2.78143e-48	-1.74683e-07
19.6	9.74521e-49	3.31109e-49	2.49986e-48	4.73082e-49	1.5623e-48	-1.74683e-07
19.7	5.47379e-49	1.85981e-49	1.40415e-48	2.65725e-49	8.77529e-49	-1.74683e-07
19.8	3.07457e-49	1.04464e-49	7.88696e-49	1.49255e-49	4.92899e-49	-1.74683e-07
19.9	1.72696e-49	5.86762e-50	4.43003e-49	8.38353e-50	2.76857e-49	-1.74683e-07
20	9.70015e-50	3.29578e-50	2.4883e-49	4.70895e-50	1.55508e-49	-1.74683e-07
20.1	5.44848e-50	1.85121e-50	1.39766e-49	2.64497e-50	8.73471e-50	-1.74683e-07
20.2	3.06036e-50	1.03981e-50	7.8505e-50	1.48565e-50	4.9062e-50	-1.74683e-07
20.3	1.71897e-50	5.84049e-51	4.40955e-50	8.34477e-51	2.75577e-50	-1.74683e-07
20.4	9.6553e-51	3.28054e-51	2.4768e-50	4.68717e-51	1.54789e-50	-1.74683e-07
20.5	5.42329e-51	1.84265e-51	1.39119e-50	2.63274e-51	8.69433e-51	-1.74683e-07
20.6	3.04621e-51	1.035e-51	7.8142e-51	1.47878e-51	4.88352e-51	-1.74683e-07
20.7	1.71102e-51	5.81348e-52	4.38916e-51	8.30618e-52	2.74302e-51	-1.74683e-07
20.8	9.61066e-52	3.26538e-52	2.46535e-51	4.6655e-52	1.54073e-51	-1.74683e-07
20.9	5.39821e-52	1.83413e-52	1.38476e-51	2.62057e-52	8.65413e-52	-1.74683e-07
21	3.03212e-52	1.03021e-52	7.77807e-52	1.47195e-52	4.86094e-52	-1.74683e-07
21.1	1.70311e-52	5.7866e-53	4.36887e-52	8.26778e-53	2.73034e-52	-1.74683e-07
21.2	9.56622e-53	3.25028e-53	2.45395e-52	4.64393e-53	1.53361e-52	-1.74683e-07
21.3	5.37325e-53	1.82565e-53	1.37836e-52	2.60845e-53	8.61412e-53	-1.74683e-07
21.4	3.0181e-53	1.02545e-53	7.74211e-53	1.46514e-53	4.83846e-53	-1.74683e-07
21.5	1.69524e-53	5.75985e-54	4.34867e-53	8.22955e-54	2.71772e-53	-1.74683e-07
21.6	9.52199e-54	3.23525e-54	2.4426e-53	4.62246e-54	1.52652e-53	-1.74683e-07
21.7	5.34841e-54	1.81721e-54	1.37199e-53	2.59639e-54	8.57429e-54	-1.74683e-07
21.8	3.00415e-54	1.02071e-54	7.70631e-54	1.45837e-54	4.81609e-54	-1.74683e-07
21.9	1.6874e-54	5.73322e-55	4.32856e-54	8.1915e-55	2.70515e-54	-1.74683e-07
22	9.47797e-55	3.22029e-55	2.43131e-54	4.60109e-55	1.51946e-54	-1.74683e-07
22.1	5.32368e-55	1.80881e-55	1.36564e-54	2.58439e-55	8.53464e-55	-1.74683e-07
22.2	2.99026e-55	1.01599e-55	7.67068e-55	1.45162e-55	4.79383e-55	-1.74683e-07
22.3	1.6796e-55	5.70671e-56	4.30855e-55	8.15363e-56	2.69265e-55	-1.74683e-07
22.4	9.43414e-56	3.2054e-56	2.42007e-55	4.57981e-56	1.51243e-55	-1.74683e-07
22.5	5.29907e-56	1.80044e-56	1.35933e-55	2.57244e-56	8.49518e-56	-1.74683e-07
22.6	2.97643e-56	1.01129e-56	7.63522e-56	1.44491e-56	4.77166e-56	-1.74683e-07
22.7	1.67183e-56	5.68033e-57	4.28863e-56	8.11593e-57	2.6802e-56	-1.74683e-07
22.8	9.39052e-57	3.19058e-57	2.40888e-56	4.55864e-57	1.50544e-56	-1.74683e-07
22.9	5.27457e-57	1.79212e-57	1.35304e-56	2.56054e-57	8.45591e-57	-1.74683e-07
23	2.96267e-57	1.00662e-57	7.59991e-57	1.43823e-57	4.7496e-57	-1.74683e-07
23.1	1.6641e-57	5.65406e-58	4.2688e-57	8.0784e-58	2.6678e-57	-1.74683e-07
23.2	9.34711e-58	3.17583e-58	2.39774e-57	4.53756e-58	1.49848e-57	-1.74683e-07
23.3	5.25018e-58	1.78383e-58	1.34679e-57	2.5487e-58	8.41681e-58	-1.74683e-07
23.4	2.94897e-58	1.00196e-58	7.56477e-58	1.43158e-58	4.72764e-58	-1.74683e-07
23.5	1.65641e-58	5.62792e-59	4.24906e-58	8.04105e-59	2.65547e-58	-1.74683e-07
23.6	9.30389e-59	3.16115e-59	2.38666e-58	4.51658e-59	1.49155e-58	-1.74683e-07
23.7	5.2259e-59	1.77559e-59	1.34056e-58	2.53692e-59	8.37789e-59	-1.74683e-07
23.8	2.93534e-59	9.97329e-60	7.5298e-59	1.42496e-59	4.70578e-59	-1.74683e-07
23.9	1.64875e-59	5.6019e-60	4.22941e-59	8.00387e-60	2.64319e-59	-1.74683e-07
24	9.26087e-60	3.14653e-60	2.37562e-59	4.4957e-60	1.48465e-59	-1.74683e-07


